actor_id,actor_name,genres
nm0000129,Tom Cruise,"['Action', 'Adventure', 'Thriller']"
nm0779084,Dougray Scott,"['Action', 'Adventure', 'Thriller']"
nm0628601,Thandiwe Newton,"['Action', 'Adventure', 'Thriller']"
nm0000609,Ving Rhames,"['Action', 'Adventure', 'Thriller']"
nm0000170,Milla Jovovich,"['Action', 'Horror', 'Sci-Fi']"
nm0735442,Michelle Rodriguez,"['Action', 'Horror', 'Sci-Fi']"
nm1011675,Ryan McCluskey,"['Action', 'Horror', 'Sci-Fi']"
nm0668994,Oscar Pearce,"['Action', 'Horror', 'Sci-Fi']"
nm0000228,Kevin Spacey,['Drama']
nm0000194,Julianne Moore,['Drama']
nm0001132,Judi Dench,['Drama']
nm0000949,Cate Blanchett,['Drama']
nm0184392,Martin Kove,"['Action', 'Comedy', 'Horror']"
nm0566044,Tane McClure,"['Action', 'Comedy', 'Horror']"
nm0007940,Bruce Abbott,"['Action', 'Comedy', 'Horror']"
nm0120494,Robert Z'Dar,"['Action', 'Comedy', 'Horror']"
nm0001772,Patrick Stewart,"['Action', 'Adventure', 'Sci-Fi']"
nm0413168,Hugh Jackman,"['Action', 'Adventure', 'Sci-Fi']"
nm0005212,Ian McKellen,"['Action', 'Adventure', 'Sci-Fi']"
nm0000463,Famke Janssen,"['Action', 'Adventure', 'Sci-Fi']"
nm0000169,Tommy Lee Jones,"['Action', 'Adventure', 'Comedy']"
nm0000226,Will Smith,"['Action', 'Adventure', 'Comedy']"
nm0001800,Rip Torn,"['Action', 'Adventure', 'Comedy']"
nm0001223,Lara Flynn Boyle,"['Action', 'Adventure', 'Comedy']"
nm0000354,Matt Damon,"['Action', 'Adventure', 'Animation']"
nm0000106,Drew Barrymore,"['Action', 'Adventure', 'Animation']"
nm0000597,Bill Pullman,"['Action', 'Adventure', 'Animation']"
nm0108028,Jim Breuer,"['Action', 'Adventure', 'Animation']"
nm0005450,David Spade,"['Adventure', 'Animation', 'Comedy']"
nm0000422,John Goodman,"['Adventure', 'Animation', 'Comedy']"
nm0457755,Eartha Kitt,"['Adventure', 'Animation', 'Comedy']"
nm0911320,Patrick Warburton,"['Adventure', 'Animation', 'Comedy']"
nm0000136,Johnny Depp,"['Animation', 'Drama', 'Family']"
nm0000307,Helena Bonham Carter,"['Animation', 'Drama', 'Family']"
nm0001833,Emily Watson,"['Animation', 'Drama', 'Family']"
nm0001808,Tracey Ullman,"['Animation', 'Drama', 'Family']"
nm0222881,Tony Devon,"['Mystery', 'Thriller']"
nm3083522,Lori Singleton,"['Mystery', 'Thriller']"
nm4024721,Mark Dermott,"['Mystery', 'Thriller']"
nm2741355,Thomas Finn,"['Mystery', 'Thriller']"
nm0159789,Hayden Christensen,"['Action', 'Adventure', 'Fantasy']"
nm0000204,Natalie Portman,"['Action', 'Adventure', 'Fantasy']"
nm0000191,Ewan McGregor,"['Action', 'Adventure', 'Fantasy']"
nm0000489,Christopher Lee,"['Action', 'Adventure', 'Fantasy']"
nm0159789,Hayden Christensen,"['Action', 'Adventure', 'Fantasy']"
nm0000204,Natalie Portman,"['Action', 'Adventure', 'Fantasy']"
